SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCCCCCCCCCCCCCCCCOC(=O)C(CC(=O)OCCCCCCCCCCCCCCCCCC)S(=O)(=O)O,13.0,731.2,845.0,0.05
CCCCCCCCCCCCCCCCCCOC(=O)CC(C(=O)OCCCCCCCCCCCCCCCC)S(=O)(=O)O,11.5,675.1,783.9,0.05
CCCCCCCCCCCCCCCOC(=O)CC(C(=O)OCCCCCCCCCCCCCCC)S(=O)(=O)O,9.9,619.0,723.4,0.05
CCCCCCCCCCCCCCOC(=O)C(CCCCCCCCCCCC)S(=O)(=O)O,8.8,504.8,547.0,0.01
CCCCCCCCCCOC(=O)C(CCCCCCC)S(=O)(=O)O,5.3,378.6,419.5,0.01
CCCCCCCCCCCCCCCCCCOCCC(CCOCCCCCCCCCCCCCCCCCC)(C(C(=O)O)S(=O)(=O)O)C(=O)O,12.7,791.2,913.7,0.1
CCCCCCCCCOC(=O)C(CCCCCCC)S(=O)(=O)O,4.9,364.5,405.6,0.01
CCCCCCCCCCCCCCCCCCOC(=O)CC(C(=O)OCC)S(=O)(=O)O,6.0,478.7,574.9,0.05
CCCCCCCC(C(=O)OCCCCCCC)S(=O)(=O)O,4.1,336.5,378.0,0.01
CCCCCCCCCCCCCOC(=O)CC(C)(C(=O)OCCCCCCCCCCCCC)S(=O)(=O)O,8.7,576.9,707.7,0.08
CCCCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)O,6.1,406.6,447.5,0.01
CC(C)CCCCCCCCCCC(=O)OCCS(=O)(=O)O,4.0,336.5,376.0,0.09
CCCCCCCCCCCCCCOC(=O)C(CCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)O,4.1,336.5,378.0,0.01
CCCCCCCCCCCCCCCCC(C(=O)OCCCCC)S(=O)(=O)O,6.8,434.7,475.7,0.01
CCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)O,4.5,350.5,391.8,0.01
CCCCCCCCCCC(C(=O)OCCCCCCC)S(=O)(=O)O,5.3,378.6,419.5,0.01
CCCCCCCCCCCCOC(=O)C(CCCCCCCC)S(=O)(=O)O,6.5,420.7,461.5,0.01
CCCCCCCCCCCCC(C)(C(OCC)(OCC)S(=O)(=O)O)OCC,5.7,424.6,473.3,0.1
CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)O,5.3,378.6,419.5,0.09
CCCCCCCCCCOC(=O)C1CC(CCC1CCC)S(=O)(=O)O,5.1,390.6,488.4,0.06
CCCCCCCCCCCCC(C(=O)OCCCCCCCC)S(=O)(=O)O,6.5,420.7,461.5,0.01
CCCCCCCCCCCCCCC(C(=O)OCCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCCC(CCCCCCCC(=O)OCCC)S(=O)(=O)O,6.1,406.6,447.5,0.01
CCCCCCCCCCCCCCCCCC(=O)OCCS(=O)(=O)O,5.7,392.6,419.9,0.07
CCCCCCCCCCCCCCCCCCCCOC(=O)CS(=O)(=O)O,6.5,420.7,447.8,0.09
CCCCCCCCCCCCCCCCOC(=O)CS(=O)(=O)O,4.9,364.5,392.2,0.09
CC(C)CCCCCCCCCCCCCCC(=O)OCCCS(=O)(=O)O,5.9,406.6,445.5,0.05
CCCCCCCCCCCCCCC(=O)OCCS(=O)(=O)O,4.5,350.5,378.4,0.07
CCCCCCCOC(C)(CS(=O)(=O)O)OCCCCCCC,4.6,352.5,351.2,0.09
CCCCCCCC1CCCC1.CCOC(C)C(OCC)(OCC)S(=O)(=O)O,5.6,424.6,453.5,0.15
CCCCCCCCCCCCC(C(OCC)(OCC)OCC)OS(=O)(=O)O,5.2,426.6,436.5,0.05
CCCCCCC(C)OC(C)(C)CCOC(C)(C)S(=O)(=O)O,4.2,338.5,400.8,0.08
CCCCC(OC)(OCC)S(=O)(=O)OOCCCC(C)(CC)CCC,4.8,382.6,438.8,0.16
CCCCCCCCCCCCCCCCCC(=O)OCCCS(=O)(=O)O,6.1,406.6,433.9,0.03
CCCCCCCCCCCCCCC(C)OC(C)CS(=O)(=O)O,5.8,364.6,367.6,0.07
CCCCCCCCCCCC(CCS(=O)(=O)O)OCC,4.6,322.5,314.2,0.01
CCCCCCCCCC(CCS(=O)(=O)O)OCCC,4.2,308.5,301.0,0.01
CCCCCCCCCCCCCCC(CS(=O)(=O)O)OCC,5.4,350.6,340.9,0.03
CCCCCCCCCCCCCCCCC(C)OC(C)CS(=O)(=O)O,6.5,392.6,394.8,0.07
CCC(C)CCCCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,8.7,448.8,436.4,0.1
CCC(C)CCCCCCCCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCCCCCC(C)CCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCCCC(C)CCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCCC(C)CCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)O,6.5,420.7,461.5,0.01
CCCCCCCCCCCCC(C(=O)OCCCCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)O,5.7,392.6,433.5,0.01
CCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)O,5.3,378.6,419.5,0.01
CCCCCCCCCCCCCCC(C(=O)OCCCCC)S(=O)(=O)O,6.1,406.6,447.5,0.01
CCCCCCCCCCCCCCOC(C)(C)S(=O)(=O)O,5.3,336.5,349.7,0.05
CCCCCCCCCCCCC(CC)OCCC(CC)(CC)OS(=O)(=O)O,6.9,422.7,445.8,0.01
CCCCCCCCCCCCC(C)(C)OCCC(C)(C)OS(=O)(=O)O,6.1,394.6,443.1,0.03
CCCCCCCCCCCC(C)(C)OCCC(C)(C)OS(=O)(=O)O,5.7,380.6,429.1,0.03
CCCCCCCCCCCCCCCCCCCC(OC(C)(C)C)S(=O)(=O)O,8.1,434.7,454.0,0.09
CCCCCCCCCCCCCOC(CC)S(=O)(=O)OO,4.9,338.5,329.4,0.01
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)O,4.5,350.5,391.8,0.09
CCCCCCCCCCCCCCC(C(=O)OO)S(=O)(=O)O,4.4,352.5,393.4,0.13
CCCCCCCCCCCCC(OC(=O)CCCCCC)S(=O)(=O)O,6.0,392.6,433.5,0.05
CCCCCCCCCCCCC(C(=O)OCCCCCCCC)S(=O)(=O)O,6.5,420.7,461.5,0.01
CCCCCCCCCCCCCCCCCCCCCC(C)(C)OS(=O)(=O)O,8.4,434.7,445.8,0.06
