SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].CCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Ca+2],12.3,795.3,814.9,0.13
CCCCCCCCCCCCCCCCCCOS(=O)(=O)OCCCC,7.3,406.7,381.8,0.02
CCCCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCC)COS(=O)(=O)[O-].CCCCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCC)COS(=O)(=O)[O-].[Ca+2],28.7,1384.4,1452.7,0.13
CCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Mg+2],10.3,695.4,700.2,0.1
CCCCC(CCC)CCOS(=O)(=O)[O-],2.5,237.3,235.8,0.02
CCCCCCCCCCCCCCCCCCCC(CCCCCCCCC)COS(=O)(=O)[O-].CCCCCCCCCCCCCCCCCCCC(CCCCCCCCC)COS(=O)(=O)[O-].[Ca+2],20.1,1075.8,1112.6,0.13
CCCCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCC)COS(=O)(=O)[O-].CCCCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCC)COS(=O)(=O)[O-].[Ca+2],24.0,1216.1,1265.7,0.13
CCCCCCCCCCCCOS(=O)(=O)OCCCCCCCCCCC,7.7,420.7,395.4,0.02
[H+].CCCCCCCCCOS(=O)(=O)[O-],2.3,224.3,216.2,0.06
CCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCCC)COS(=O)(=O)[O-].[K+],11.2,697.2,619.6,0.1
CCCCCCCC(CCC)CCOS(=O)(=O)[O-],3.6,279.4,274.7,0.02
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],12.1,709.2,672.6,0.1
CCCCC[CH2-].CCCCCCOS(=O)(=O)[O-].[Zn+2],3.4,331.8,226.2,0.08
CCCCCCCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Mg+2],15.0,863.7,874.1,0.1
CCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCC)COS(=O)(=O)[O-].CCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCC)COS(=O)(=O)[O-].[Ca+2],25.6,1272.2,1327.6,0.13
CCCCCCCCCCCCC(C)CCCOS(=O)(=O)[O-],5.2,335.5,327.6,0.02
CCCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCC)COS(=O)(=O)[O-].[Na+],9.2,611.0,584.7,0.1
