SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCOC(CCCC)OC(=O)S(=O)(=O)O,2.7,282.4,324.4,0.07
CCCCCCCCCCCCCCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCCCCCCCCCCCCCC)S(=O)(=O)O,13.5,759.2,906.3,0.07
CCCCCCCCCCCCCCCCOC(=O)C(CCCCCCCCCCCC)C(C)OS(=O)(=O)O,10.1,576.9,636.6,0.05
CCCCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)O,5.7,392.6,433.5,0.01
CCCCCOC(=O)C(CC(C)CC)CC(CC)S(=O)(=O)O,3.8,336.5,404.8,0.03
CCCCCCCCCCCCCCCCCCOC(=O)C(CCCCCCCCCC)S(=O)(=O)O,9.6,532.9,575.9,0.01
CCCCCCC(C(=O)OCC)S(=O)(=O)O,1.8,252.3,296.3,0.03
CCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,3.3,308.4,350.6,0.03
CCCCCCCC(=O)OCC(C)S(=O)(=O)O,2.2,266.4,309.8,0.03
CCCCCCCCCCCCCCC(C(=O)OCCCCCCCCCCCC)S(=O)(=O)O,8.8,504.8,547.0,0.01
CCCCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,6.5,420.7,461.5,0.03
CCCCCCCCCCCCCCCCCCCOC(=O)CC(C(=O)OC=CC)S(=O)(=O)O,6.9,504.7,643.5,0.05
CCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,4.9,364.5,405.6,0.03
CCCCCCOC(=O)CC(CC)(C(=O)OCCCCCC)S(=O)(=O)O,3.7,394.5,515.6,0.08
CCCCCCCCCCCCCCCCCCCCCCCOC(=O)CC(C(=O)OCCCCCCCCCCCCCCCCCCCCCCC)S(=O)(=O)O,16.1,843.4,969.0,0.05
CCCCCCCCC(C(=O)OCCCCCCCC)S(=O)(=O)O,4.9,364.5,405.6,0.01
CCCCCCCCCCCCOC(=O)CC(C)S(=O)(=O)O,4.1,336.5,378.0,0.01
CCCCCCCCCCCCOC(CCCCCCCCCCC)OS(=O)(=O)O,8.0,450.7,438.9,0.03
CCCCCCCCCCCCOC(CCC)OS(=O)(=O)O,4.9,338.5,329.4,0.03
CCCCCCCCCCOC(CCC)OS(=O)(=O)O,4.1,310.5,302.7,0.03
CCCCCCCCCCCCCCCCOS(=O)(=O)OC(C)O,5.1,366.6,354.4,0.02
CCCCCCCCCCCCOS(=O)(=O)OC(=O)CCCCCCCCCCC,7.6,448.7,476.0,0.06
CCCCCCCCCCCCC(CC)OCCC(CC)(CC)OS(=O)(=O)O,6.9,422.7,445.8,0.01
CCCCCCCCCCCCCCCCCC(OCC)OS(=O)(=O)O,6.4,394.6,383.7,0.03
CCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)O,4.5,350.5,391.8,0.01
CCCCCCCCCCOC(=O)C(CCCCCCC)S(=O)(=O)O,5.3,378.6,419.5,0.01
CCCCCCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)O,6.5,420.7,461.5,0.01
CCCCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)O,6.1,406.6,447.5,0.01
CCCCCCCCCCCCCC(=O)S(=O)(=O)OCCCCC,5.8,362.6,390.2,0.08
CCCCCCCCCCCCCCOC(=O)S(=O)(=O)O,4.7,322.5,351.1,0.05
CCCCCCCCCCC(C(=O)OCCCCCCCC)S(=O)(=O)O,5.7,392.6,433.5,0.01
CCCCCCCCCCCCC(C(=O)OCCCCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCCCCCCCOOS(=O)(=O)O,4.4,310.5,289.9,0.03
CCCCCCCCCCCCCCCCOS(=O)(=O)O,5.3,322.5,301.4,0.08
CCCCCCCCCCCCOCCC(CCCCCCCCC)OS(=O)(=O)O,7.6,450.7,438.9,0.01
CCC(C)CCCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,8.3,434.7,422.6,0.1
CCCCCCCCCCCCC(C(=O)OCCCCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCC(C)CCCCCCCCCCCCOS(=O)(=O)O,5.9,350.6,340.9,0.1
CCCCCCCC(C)CCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCCCCCCCCOOS(=O)(=O)C=CCCC,5.5,334.5,349.7,0.06
CCCCCCCCCCCCOC(C)S(=O)(=O)O,4.2,294.5,287.8,0.01
CCCCCCCCCCCCCCCCCCSOS(=O)(=O)OCC,7.2,410.7,372.0,0.04
CCCCCCCCCCCCCCCCCCOC(C)S(=O)(=O)O,6.5,378.6,367.9,0.01
CCCCCCCCC(C)C(CC)(CC)OS(=O)(=O)O,4.8,308.5,333.8,0.04
CCCCCCCCCCCCCCCCCCCCCC(C)(C)OS(=O)(=O)O,8.4,434.7,445.8,0.06
CCCCCCCCCC(C(C)CCCC)OS(=O)(=O)O,5.1,322.5,327.2,0.02
CCCCCCC(CCC)(CCC)OS(=O)(=O)O,4.1,280.4,292.1,0.04
CCCCCCCC(CCCCC(CC)CC)OS(=O)(=O)O,5.5,336.5,336.6,0.02
CCCCCCCCC(CCCCCCCC)(CCCCCCCC)OS(=O)(=O)O,8.8,448.8,421.0,0.04
CCCCCCCCC(C)(C)CCCOS(=O)(=O)O,4.4,294.5,309.4,0.03
CCCCCCCCCCCCCCCCCCCCCCCC(C)(C)OS(=O)(=O)O,9.2,462.8,473.8,0.06
CCCCCCCCCCCCCCCCCCC(C(C)(C)C)OS(=O)(=O)O,7.9,420.7,440.0,0.06
CCCCCCCCCCCCCCC(C)(C)OS(=O)(=O)O,5.7,336.5,349.7,0.06
CCCCCCC(C)CCCCCCCCOS(=O)(=O)[O-],4.8,321.5,314.2,0.02
CCCCCCCCCCCCOS(=O)(=O)OCCCCCCCCCCCC,8.1,434.7,377.1,0.02
CCCCCCCCCCOS(=O)(=O)OCCCCCCCC,5.8,350.6,327.9,0.02
CCCCCCCCCCCCCCOC(C)OS(=O)(=O)O,4.9,338.5,329.4,0.01
CCCCCCCCCOS(=O)(=O)OCCCCC,4.2,294.5,275.2,0.02
CCCCCCCCCCCCCCCCOC(C)OS(=O)(=O)O,5.6,366.6,356.4,0.01
CCCCCCCCCC(C)CCCCCCOS(=O)(=O)[O-],5.2,335.5,327.6,0.02
CCCCCCCCCCCCCCOS(=O)(=O)OCC,5.0,322.5,301.4,0.02
CCCCCCCCCCCCCCCCC(C(=O)OCCCCC)S(=O)(=O)O,6.8,434.7,475.7,0.01
CCC(C)CCCCCCCCCCCCCC(=O)OC(CC)S(=O)(=O)O,6.3,406.6,461.2,0.09
CCCCCCCCCCCCCCOC(CC)S(=O)(=O)O,5.3,336.5,327.6,0.03
CCCC(C)CCCCCCCOS(=O)(=O)OCCCCCCCC(C)CCC,7.8,434.7,402.2,0.04
CCC(C)CCCCCCCCCCCOS(=O)(=O)[O-],4.4,307.5,301.0,0.02
CC(C)CCCCCCCCCCCCCCCCOS(=O)(=O)O,6.3,364.6,352.4,0.05
CCCCCCCCCCCCC=CC(CCCCCCC)COS(=O)(=O)O,7.6,418.7,445.5,0.03
CCCCCCCCCCCCCCCCCCC(=O)CCOS(=O)(=O)O,6.4,406.6,433.9,0.01
CCCCCCCCCCCCCCCCOC(CCC)OS(=O)(=O)O,6.4,394.6,383.7,0.03
CCCC.CCCCCCCCCCCCCCCCOS(=O)(=O)O,7.1,380.6,326.6,0.05
CCCCCCCCCCCCCC=CC(CCCCCCCC)COS(=O)(=O)O,8.4,446.7,473.5,0.03
CCCCCCCCCCCC(COS(=O)(=O)O)C=CCCCCCCC,7.3,404.7,431.6,0.03
CCCCCC(C)CCCCC(C)COS(=O)(=O)O,4.2,294.5,300.6,0.03
CCCCCCCCCCCCOS(=O)(=O)OCCCCC,5.4,336.5,314.6,0.02
