[2, 8]
[3, 10]
[4, 10]
[5, 8]
[6, 8]
[7, 6]
[8, 8]
[9, 6]
[10, 8]
[11, 8]
[12, 6]
[13, 8]
[14, 6]
[15, 8]
[16, 6]
[17, 6]
[18, 5]
[19, 6]
[20, 8]
[21, 6]
[22, 5]
[23, 6]
[24, 6]
[25, 8]
[26, 6]
[27, 8]
[28, 6]
[29, 6]
[30, 6]
[31, 8]
[32, 6]
[33, 8]
[34, 6]
[35, 8]
[36, 6]
[37, 8]
[38, 6]
[39, 8]
[40, 6]
[41, 8]
[42, 6]
[43, 8]
[44, 6]
[45, 5]
[46, 6]
[47, 6]
[48, 8]
[49, 6]
[50, 8]
[51, 6]
