SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCC(CCC)CCOS(=O)(=O)O,2.8,238.3,235.8,0.1
CCCC(C)CCCCCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCC(C)CCCCCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
C.CCCCCCCCC=CCCCCCCCCCCCCOS(=O)(=O)O,8.0,420.7,418.3,0.05
CCCCC(C)CCOS(=O)(=O)O,2.0,210.3,210.2,0.1
CCC(C)CCCCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,8.7,448.8,436.4,0.1
CCCCCOP(=O)(OCCCCC)OCCCCCCOS(=O)(=O)O,4.9,418.5,452.9,0.05
CCCCC(C)CCCCCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCCCCCC)OCCCCOS(=O)(=O)O,12.7,699.0,727.1,0.05
CCCCCCCCCCCCCC(C)CCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCCCCCCOS(=O)(=O)O,8.2,560.9,636.3,0.03
CCC(C)CCCCCCCCCCCCCCCOS(=O)(=O)O,6.3,364.6,354.4,0.1
CCCCCCCCOS(=O)(=O)O.CCCCCCCCOS(=O)(=O)O,4.3,420.6,442.4,0.03
CCCCC(C)CCCCCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCCC(C)CCCCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCC(C)CCCCCCCCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCC(C)CCCCCCOS(=O)(=O)O,3.2,252.4,248.7,0.1
CCCCCCCCCOS(=O)(=O)O.CCCCCCCCOS(=O)(=O)O,4.7,434.6,503.0,0.03
CCCCCCC(C)C(CCCOS(=O)(=O)O)OS(=O)(=O)O,2.4,362.5,485.3,0.05
CCCC(C)CCCCCCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCCC(C)CCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCCCCC(C)CCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCCCCCCCCOS(=O)(=O)O,9.8,617.0,696.5,0.03
CCCCCCCCCCCCOS(=O)(=O)OCCCCCCCCCCC.OS(=O)(=O)O,7.1,518.8,583.6,0.03
CCCCCCCCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCCCCCCCCCCCCOS(=O)(=O)O,12.1,701.1,721.8,0.03
CCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCC)OCCCCOS(=O)(=O)O,9.6,586.8,614.8,0.05
CCCCCCCCCCCCOS(=O)(=O)O.CCCCCCCCCCCCOS(=O)(=O)O,7.5,532.8,552.5,0.03
CCCC(C)CCOS(=O)(=O)O,1.6,196.3,197.5,0.1
CCCCCOS(=O)(=O)O.CCCCCOS(=O)(=O)O,2.0,336.4,361.0,0.01
CCCCCCCCC(C)CCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCCC(C)CCCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCC(C)CCCCCCCCCCCCOS(=O)(=O)O,5.9,350.6,340.9,0.1
CCCC(COS(=O)(=O)O)C(C)C,1.9,210.3,220.3,0.02
CCCCCC(C)CCCCCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCCCCCCC(C)CCCCCCCCOS(=O)(=O)O,5.5,336.5,327.6,0.1
CCCCCCCCC(CC)CCCCCCCOS(=O)(=O)O,5.9,350.6,340.9,0.1
CC(C)CCCC(C)COS(=O)(=O)O,2.3,224.3,233.2,0.02
CCCCCC(C)CCCCCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCC(C)CCOS(=O)(=O)O,1.2,182.2,184.8,0.08
CCC(C)CCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,7.9,420.7,408.8,0.1
CCCCCCCC(C)CCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCC(C)CC(C)C(C)CCCCOS(=O)(=O)O,3.7,280.4,300.1,0.08
CCCCCC=CC(C)CCOS(=O)(=O)O,3.0,250.4,282.4,0.08
CCCCCCCCCCC(C)CCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCC(C)C(C)CCCOS(=O)(=O)O,3.4,266.4,274.2,0.08
CCC(C)CCCCCCCCCC(C)CCOS(=O)(=O)O,5.4,336.5,340.6,0.08
CCCCCC(CCCC)CCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCC(C)CCCCCC(CC)CCOS(=O)(=O)O,4.2,294.5,300.6,0.08
CCCCCCCCCC(C)CCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCC(CCCC)CCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCCC(CC)CCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCCCCCCCC(C)CCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCCC(C)CCCCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCCCC(C)CCCCCCOS(=O)(=O)O,3.6,266.4,261.7,0.1
CCCC(C)CCCCCCCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCC(C)CCCCCCCCCCCCCCCCCCCCOS(=O)(=O)O,8.3,434.7,422.6,0.1
CCCCCCCC(C)CCCCCCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCCCCCCCC(C)CCCOS(=O)(=O)O,5.1,322.5,314.2,0.1
CCCCCC(CC)CCOS(=O)(=O)O,2.8,238.3,235.8,0.1
CCCCC(C)CCCCCCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCCCCCCC=CCCCCCCCCOC(=O)CCC(=O)OS(=O)(=O)O,5.7,448.6,570.0,0.03
CCC(C)CCCCCCCCCOS(=O)(=O)O,4.0,280.4,274.7,0.1
CCC(C)CCCCCCCCCCCOS(=O)(=O)O,4.8,308.5,301.0,0.1
CCCC(C)CCCCCCCCCOS(=O)(=O)O,4.4,294.5,287.8,0.1
CCCCCOCCOCCOCCOS(=O)(=O)O,1.0,300.4,278.8,0.01
CCCCC(CC)CCCOS(=O)(=O)O,2.8,238.3,235.8,0.1
CCC(C)CCCOS(=O)(=O)O,1.6,196.3,197.5,0.1
CCCCCCCCCCOCCOCCOCCOCCCCOS(=O)(=O)O,3.8,442.6,416.7,0.01
CCCCCC=CCC=CCC=CCC=CCCCCOS(=O)(=O)O,6.0,370.6,501.8,0.05
CCC(C)CCCCCCCCCCCCCCCCCCOS(=O)(=O)O,7.5,406.7,395.1,0.1
