[2, 12]
[3, 10]
[4, 8]
[5, 10]
[6, 10]
[7, 8]
[8, 10]
[9, 8]
[10, 6]
[11, 8]
[12, 6]
[13, 6]
[14, 8]
[15, 6]
[16, 8]
[17, 6]
[18, 8]
[19, 6]
[20, 8]
[21, 6]
[22, 8]
[23, 6]
[24, 8]
[25, 6]
[26, 8]
[27, 6]
[28, 8]
[29, 6]
[30, 8]
[31, 8]
[32, 8]
[33, 8]
[34, 6]
[35, 8]
[36, 6]
[37, 6]
[38, 8]
[39, 6]
[40, 8]
[41, 6]
[42, 8]
[43, 10]
[44, 8]
[45, 10]
[46, 8]
[47, 10]
[48, 8]
[49, 6]
[50, 8]
[51, 6]
