[2, 62]
[3, 50]
[4, 40]
[5, 50]
[6, 50]
[7, 40]
[8, 50]
[9, 40]
[10, 32]
[11, 40]
[12, 32]
[13, 32]
[14, 40]
[15, 32]
[16, 40]
[17, 32]
[18, 40]
[19, 32]
[20, 40]
[21, 32]
[22, 40]
[23, 32]
[24, 40]
[25, 32]
[26, 40]
[27, 32]
[28, 40]
[29, 32]
[30, 40]
[31, 40]
[32, 40]
[33, 40]
[34, 32]
[35, 40]
[36, 32]
[37, 32]
[38, 40]
[39, 32]
[40, 40]
[41, 32]
[42, 40]
[43, 50]
[44, 40]
[45, 50]
[46, 40]
[47, 50]
[48, 40]
[49, 32]
[50, 40]
[51, 32]
