SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCCC(CC)CC=CS(=O)(=O)O,3.8,248.4,280.6,0.11
CCCCCCCCCCCCCCCC(=O)S(=O)(=O)O,4.9,320.5,349.3,0.1
CCC=CCC=CCC=CCCCCCCC(C)C(=O)S(=O)(=O)O,5.2,356.5,515.5,0.14
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)S(=O)(=O)O,11.9,573.0,602.3,0.1
CCCCC(CC)CC(CC=O)(CC(CC)CCCC)C(=O)S(=O)(=O)O,5.2,390.6,494.3,0.13
CCCCCCCCCCCCCCC(CCCCCCC=CCCCCCCCC)C(=O)S(=O)(=O)O,10.8,542.9,626.7,0.14
CCCCC(CC)CC(CC=O)C(=O)S(=O)(=O)O,2.2,278.4,360.7,0.1
CCCCC(CC)CC(CC=O)(CC(CC)CCCC)C(=O)S(=O)(=O)O,5.2,390.6,494.3,0.13
CCCCCCCCCCCCCC(CC(O)S(=O)(=O)O)C=O,4.1,350.5,380.4,0.13
CCCCCCCCC1CCCC1CCCCCCC(=O)S(=O)(=O)O,5.9,374.6,458.3,0.15
CCCCCCCCCC(CCCCCCCC(=O)OO)S(=O)(=O)OO,5.1,396.5,436.8,0.09
CCCCCCCC[CH]C([CH]CCCCCCC(=O)OO)S(=O)(=O)O,4.8,378.5,421.3,0.09
CCCCCCCCC(C[CH]CCCCCCC(=O)OO)S(=O)(=O)O,4.9,379.5,421.3,0.09
CCCCCCCCCCCCCCCC(C(=O)C(=O)O)S(=O)(=O)O,4.4,378.5,472.0,0.17
CCCCCCCCC(CCCCCCCCC(=O)OO)S(=O)O,5.5,364.5,322.5,0.18
CCCCCCCCC(C(CCCCCCCC(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCCCCCC(CC(=O)O)S(=O)(=O)O,4.0,322.5,364.3,0.11
CCCCCCCC(CCCCCCCCC(=O)O)S(=O)O,5.1,334.5,294.4,0.2
CCCCCCCCCC(CCCCCCCC(=O)O)S(=O)O,5.5,348.5,307.4,0.2
CCCCCCCCCC(CCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(CCCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCCCCCCC(C(=O)OO)S(=O)(=O)O,4.0,338.5,379.5,0.13
CCCCCCCCCCCCCCCC(C(=O)C(=O)O)S(=O)(=O)O,4.4,378.5,472.0,0.17
CCCCCCCCC(CCCCCCCC(C(=O)O)S(=O)(=O)O)O,4.2,380.5,434.8,0.16
CCCCCCCCCCCCCCCCC(C(=O)O)(O)S(=O)(=O)O,4.5,380.5,448.5,0.19
CCCCCCCCCC(C(CCCCCCC(=O)O)S(=O)(=O)O)O,4.2,380.5,434.8,0.16
CCCCCCCCC(C(CCCCCCCC(=O)O)S(=O)(=O)O)O,4.2,380.5,434.8,0.16
CCCCCCCCC(C(CCCCCCCC(=O)O)O)S(=O)(=O)O,4.2,380.5,434.8,0.16
CCCCCCCCC(C(CCCCCCCC(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)OO)S(=O)(=O)O)O,4.1,396.5,450.5,0.15
CCCCCCCCCCCCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,7.5,448.7,489.8,0.15
