SMILES,Complexity,MolecularWeight,XLogP,RefLikeness
CCCCCCCC(CCCCCCCCC(=O)O)S(=O)O,294.4,334.5,5.1,0.2
CCCCCCCCCC(CCCCCCCC(=O)O)S(=O)O,307.4,348.5,5.5,0.2
