SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCCCCCCCCCCCCOCCC(CC(=O)O)(C(=O)O)S(=O)(=O)O,5.1,466.6,590.3,0.13
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)CC(C(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC)S(=O)(=O)O,21.6,1039.8,1191.0,0.05
CCCCCCCCCCCCOCCOCCOCCC(C(C(=O)O)S(=O)(=O)O)C(=O)O,3.4,498.6,608.3,0.12
CCCCCCCCCCCCCCOOC(=O)C(CC(=O)[O-])S(=O)(=O)O,2.6,409.5,503.5,0.09
CCCCCCCCCCCCCCCCCCOCCCOC(=O)C(CC(=O)O)S(=O)(=O)O,5.9,508.7,606.0,0.12
CCCCCCCCCOCCCOC(=O)C(CC(=O)[O-])S(=O)(=O)O,1.1,381.5,474.5,0.1
CCCCCCCCCCCCCCC(C(=O)OCCS(=O)(=O)O)S(=O)(=O)O,3.8,444.6,613.5,0.08
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)(C(CC(=O)OCCCCCC)(C(=O)OCCCCCC)S(=O)(=O)O)S(=O)(=O)O,7.1,787.0,1251.3,0.08
CCCCCCCCCCCCCCOC(=O)C(CCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCS(=O)(=O)O,7.2,448.7,476.0,0.07
CCCCCCCCOCCCCCCCC.C(C(C(=O)O)S(=O)(=O)O)C(=O)O,4.5,440.6,490.6,0.13
CCCCCCCCCCCCCCOC(=O)CC(C(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCC(CCCC)COC(=O)C(CCOCC(C)CC)S(=O)(=O)O,4.2,394.6,454.6,0.06
CCCCCCCCCCCCCCOC(CC(OCC)(OCC)OCC)S(=O)(=O)O,6.1,468.7,479.1,0.06
CCCCCCCCCCCCCCC(C(=O)OCCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCCCCCCCOC(=O)C(CC(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCCCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,7.2,448.7,489.8,0.03
CCCCCCCCC(C(CCCCCCCC(=O)OCCCC)S(=O)(=O)O)O,5.4,436.7,491.5,0.08
CCCCCCCCCCCCCCOC(=O)CC(C(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCCCCCCCCCCCOC(=O)C(CC(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCCCCCC(CCC(CCCCCC(=O)OCC)S(=O)(=O)O)O,4.6,408.6,463.1,0.05
CCCCCCCCC(C(CCCCCCCC(=O)OCCCC)S(=O)(=O)O)O,5.4,436.7,491.5,0.08
CCCCCCCCCCOC(=O)C(CCOOCCCCC)S(=O)(=O)O,4.5,410.6,451.0,0.03
CCCCCCCCCCCCOC(CCCCCCCCCCC)(O)S(=O)(=O)OO,7.3,466.7,482.5,0.06
CCCCCCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,7.2,448.7,489.8,0.03
CCCCCCCCCCCCCCCCCC(=O)C(CCO)S(=O)(=O)O,5.5,406.6,447.5,0.1
CCCCCCCCC(C(C(CCCCCC)C(=O)OO)S(=O)(=O)O)O,4.0,396.5,464.2,0.14
CCCCCCCCC(CCC(CCCCCC(=O)OCC)S(=O)(=O)O)O,4.6,408.6,463.1,0.05
CCCCCCCCCCCCCCOC(=O)C(CC(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCCCCCCCCCOC(CCCCCCCCCCC)(O)S(=O)(=O)OO,7.3,466.7,482.5,0.06
CCCCCCCCCCCCCCOC(=O)C(CC(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCCCCCCCCCCCOC(=O)C(CCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCC(C(C(CCCCCC)C(=O)OO)S(=O)(=O)O)O,4.0,396.5,464.2,0.14
CCCCCCCCCCCCCCC(C(=O)OCCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCC(C(CCCCCCCC(=O)OCCCC)S(=O)(=O)O)O,5.4,436.7,491.5,0.08
CCCCCCCCCCCCC(C(=O)OCCCCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCC(C(CCCCCCCC(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)O)S(=O)(=O)OCCCC)O,5.4,436.7,491.5,0.08
CCCCCCCCCCCCCCOC(=O)CC(C(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCCCCCCCCCCCCCO.C(C(C(=O)O)S(=O)(=O)O)C(=O)O,4.3,440.6,490.6,0.14
CCCCCCCCCCCCOC(CCCCCCCCCCC)(O)S(=O)(=O)OO,7.3,466.7,482.5,0.06
CCCCCCCCCCCCCCOC(=O)CC(C(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCCCCCC(C(CCCCCCCC(=O)OCCCC)S(=O)(=O)O)O,5.4,436.7,491.5,0.08
CCCCCCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,7.2,448.7,489.8,0.03
CCCCCCCCC(C(CCCCCCCC(=O)O)S(=O)(=O)OCCCC)O,5.4,436.7,491.5,0.08
CCCCCCCCC(CCC(CCCCCC(=O)OCC)S(=O)(=O)O)O,4.6,408.6,463.1,0.05
CCCCCCCCC(C(CCCCCCCC(=O)OCCCC)S(=O)(=O)O)O,5.4,436.7,491.5,0.08
CCCCCCCCCCOC(=O)C(CCOOCCCCC)S(=O)(=O)O,4.5,410.6,451.0,0.03
CCCCCCCCCCCCOC(CCCCCCCCCCC)(O)S(=O)(=O)OO,7.3,466.7,482.5,0.06
CCCCCCCCCCCCCCCCCC(=O)C(CCO)S(=O)(=O)O,5.5,406.6,447.5,0.1
CCCCCCCCC(C(C(CCCCCC)C(=O)OO)S(=O)(=O)O)O,4.0,396.5,464.2,0.14
CCCCCCCCC(CCC(CCCCCC(=O)OCC)S(=O)(=O)O)O,4.6,408.6,463.1,0.05
CCCCCCCCC(C(CCCCCCCC(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)O)S(=O)(=O)OCCCC)O,5.4,436.7,491.5,0.08
CCCCCCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,7.2,448.7,489.8,0.03
CCCCCCCCCCCCCCOC(=O)C(CC(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCCCCCC(C(CCCCCCCC(=O)O)S(=O)(=O)OCCCC)O,5.4,436.7,491.5,0.08
CCCCCCCCC(CCC(CCCCCC(=O)OCC)S(=O)(=O)O)O,4.6,408.6,463.1,0.05
CCCCCCCCC(C(CCCCCCCC(=O)OCCCC)S(=O)(=O)O)O,5.4,436.7,491.5,0.08
CCCCCCCCCCCCOC(CCCCCCCCCCC)(O)S(=O)(=O)OO,7.3,466.7,482.5,0.06
CCCCCCCCC(C(C(CCCCCC)C(=O)OO)S(=O)(=O)O)O,4.0,396.5,464.2,0.14
CCCCCCCCCCCCOC(=O)C(CCCCCCCCCC)S(=O)(=O)O,7.2,448.7,489.8,0.01
CCCCCCCCCC(CCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(CCCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)OO)S(=O)(=O)O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(CCCCCCC)CC(=O)OCC(CS(=O)(=O)O)O,4.9,422.6,477.3,0.12
CCCCCCCCCCCCCOC(=O)C(CCC(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.07
CCCCCCCCC(C(C(CCCCCC)C(=O)OO)S(=O)(=O)O)O,4.0,396.5,464.2,0.14
CCCCCCCCCCCCOC(CCCCCCCCCCC)(O)S(=O)(=O)OO,7.3,466.7,482.5,0.06
CCCCCCCCCCCCCCCCCC(=O)OCC(CS(=O)(=O)O)O,5.0,422.6,463.5,0.14
CCCCCCCCC(C(CCCCCCCC(=O)OCCCC)S(=O)(=O)O)O,5.4,436.7,491.5,0.08
CCCCCCCCCC(CCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(CCCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)OO)S(=O)(=O)O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCCCCCCOC(=O)C(CCC(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.07
CCCCCCCCC(C(CCCCCCCC(=O)O)S(=O)(=O)OCCCC)O,5.4,436.7,491.5,0.08
CCCCCCCCC(CCC(CCCCCC(=O)OCC)S(=O)(=O)O)O,4.6,408.6,463.1,0.05
CCCCCCCCCC(CCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(CCCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)OO)S(=O)(=O)O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCCCCCOC(CCCCCCCCCCC)(O)S(=O)(=O)OO,7.3,466.7,482.5,0.06
CCCCCCCCC(C(C(CCCCCC)C(=O)OO)S(=O)(=O)O)O,4.0,396.5,464.2,0.14
CCCCCCCCCCCCCOC(=O)C(CCC(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.07
CCCCCCCCC(C(CCCCCCCC(=O)OCCCC)S(=O)(=O)O)O,5.4,436.7,491.5,0.08
CCCCCCCCC(CCCCCCCC(C(=O)O)S(=O)(=O)O)O,4.2,380.5,434.8,0.16
CCCCCCCCC(C(CCCCCCCC(=O)OCCCC)S(=O)(=O)O)O,5.4,436.7,491.5,0.08
CCCCCCCCC(C(C(CCCCCC)C(=O)OO)S(=O)(=O)O)O,4.0,396.5,464.2,0.14
CCCCCCCCCC(CCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(CCCCCCCC(C(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(CCC(CCCCCC(=O)OCC)S(=O)(=O)O)O,4.6,408.6,463.1,0.05
CCCCCCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,7.2,448.7,489.8,0.03
CCCCCCCCCCCCCCOC(=O)CC(C(=O)O)S(=O)(=O)O,4.0,394.5,487.8,0.09
CCCCCCCCCCCCOC(CCCCCCCCCCC)(O)S(=O)(=O)OO,7.3,466.7,482.5,0.06
CCCCCCCCC(C(CCCCCCCC(=O)OO)O)S(=O)(=O)O,4.1,396.5,450.5,0.15
CCCCCCCCC(C(CCCCCCCC(=O)OO)S(=O)(=O)O)O,4.1,396.5,450.5,0.15
CCCCCCCCCCCCCCCCCCCC(=O)C(CS(=O)(=O)O)O,5.8,420.7,461.5,0.12
