SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCC.[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCC.[Na+],4.7,454.7,465.8,0.12
CCCCCCCCCCCCCCC=CC(CCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCOCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.3,472.7,431.7,0.13
CCCCCCCCCCC=CC(CCCCCCCCC)COS(=O)(=O)[O-].[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCC(CCCCCCCCCC)COS(=O)(=O)[O-].[K+],4.1,444.8,381.3,0.1
CCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[Na+],4.0,412.6,410.4,0.18
CCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCCC.[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCC.[K+],5.1,484.8,479.9,0.12
CCCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[K+],4.4,442.7,424.3,0.18
CCCCCCCCCCCCCC(CCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],5.8,484.8,456.7,0.14
CCCCCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCC.[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCC(CCCCCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
CCCCCCCCCCCCC(CCCCCCCC)COS(=O)(=O)[O-].[K+],4.1,444.8,401.3,0.1
CCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCC.[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCC=CC(CCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCC(CCCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
CCCCCCCCCCC=CC(CCCCCCCCCC)COS(=O)(=O)[O-].[K+],4.7,470.8,465.8,0.12
CCCCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[K+],4.8,456.8,438.2,0.18
CCCCCCCCCCCC=CC(CCCCCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCCC=CC(CCCCCC)COS(=O)(=O)[O-].[K+],5.1,484.8,479.9,0.12
CCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],4.1,444.8,401.3,0.1
CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Ba+2],5.3,486.9,333.9,0.1
CCCCCCCCCCCCOCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.3,472.7,431.7,0.13
CCCCCCCCCCC=CC(CCCCCCCCC)COS(=O)(=O)[O-].[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
CCCCCCCCCCCCOCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.3,472.7,431.7,0.13
CCCCCCCCCCC=CC(CCCCCCCCC)COS(=O)(=O)[O-].[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCC(CCCCCCCCCC)COS(=O)(=O)[O-].[K+],4.1,444.8,381.3,0.1
CCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCC.[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCC=CC(CCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCC=CC(CCCCCCCCCC)COS(=O)(=O)[O-].[K+],4.7,470.8,465.8,0.12
CCCCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[K+],4.8,456.8,438.2,0.18
CCCCCCCCCCCC=CC(CCCCCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCCC=CC(CCCCCC)COS(=O)(=O)[O-].[K+],5.1,484.8,479.9,0.12
CCCCCCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCC.[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCC(CCCCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
CCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[K+],4.0,428.7,410.4,0.18
CCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[Na+],4.0,412.6,410.4,0.18
CCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCCC.[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCC.[K+],5.1,484.8,479.9,0.12
CCCCCCCCCCCCOCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.3,472.7,431.7,0.13
CCCCCCCCCCC=CC(CCCCCCCCC)COS(=O)(=O)[O-].[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
CCCCCCCCCCC=CC(CCCCCCCCCC)COS(=O)(=O)[O-].[K+],4.7,470.8,465.8,0.12
CCCCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[K+],4.8,456.8,438.2,0.18
CCCCCCCCCCCC=CC(CCCCCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCCC=CC(CCCCCC)COS(=O)(=O)[O-].[K+],5.1,484.8,479.9,0.12
CCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],4.1,444.8,401.3,0.1
CCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCC.[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCC=CC(CCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCC(CCCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Ba+2],5.3,486.9,333.9,0.1
CCCCCCCCCCCCCC(CCCCCCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCC.[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCC.[Na+],4.7,454.7,465.8,0.12
CCCCCCCCCCCCCCC=CC(CCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCOS(=O)(=O)OCCCCCCCCCCCC.[Na+],5.1,457.7,383.4,0.1
CCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[Na+],4.0,412.6,410.4,0.18
CCCCCCCCCCCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCC.[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCC=CC(CCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCC(CCCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
CCCCCCCCCCCC=CC(CCCCCCCCC)COS(=O)(=O)[O-].[K+],4.7,470.8,465.8,0.12
CCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[Na+],4.0,412.6,410.4,0.18
CCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCCC.[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCC.[K+],5.1,484.8,479.9,0.12
CCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCCC.[K+],5.1,484.8,479.9,0.12
CCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCCCCC.[K+],5.1,484.8,479.9,0.12
CCCCCCCCCCCCOCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.3,472.7,431.7,0.13
CCCCCCCCCCC=CC(CCCCCCCCC)COS(=O)(=O)[O-].[K+],4.3,456.8,451.8,0.12
CCCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],5.3,486.8,442.8,0.1
CCCCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
CCCCCCCCCCC=CC(CCCCCCCCCC)COS(=O)(=O)[O-].[K+],4.7,470.8,465.8,0.12
CCCCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[K+],4.8,456.8,438.2,0.18
CCCCCCCCCCCC=CC(CCCCCCCCCCC)COS(=O)(=O)[O-].[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCCC=CC(CCCCCC)COS(=O)(=O)[O-].[K+],5.1,484.8,479.9,0.12
CCCCCCCCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[K+],4.1,444.8,401.3,0.1
CCCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[K+],4.4,442.7,424.3,0.18
CCCCCCCCCCCCCC(CCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],5.8,484.8,456.7,0.14
CCCCCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCC.[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[K+],4.4,442.7,424.3,0.18
CCCCCCCCCCCCCC(CCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],5.8,484.8,456.7,0.14
CCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCCCCCC.[Na+],4.3,440.7,451.8,0.12
CCCCCCCCCCCCCCCCCC(COS(=O)(=O)[O-])C=CCCCCC.[K+],5.5,498.9,494.1,0.12
CCCCCCCCCCCCCCC=CC(CCCCCCC)COS(=O)(=O)[O-].[Na+],5.1,468.7,479.9,0.12
CCCCCCCCCCCCCCCC(CCCCCCCC)COS(=O)(=O)[O-].[Na+],5.3,470.7,442.8,0.1
CCCCCCCCCCCCCCCCCCCC=COS(=O)(=O)[O-].[Na+],4.0,412.6,410.4,0.18
CCCCCCCCCCCCC(CCCCCCCCCC)COS(=O)(=O)[O-].[K+],4.9,472.8,428.9,0.1
