SMILES,XLogP,MolecularWeight,Complexity,RefLikeness
CCCCCCCCCCCCCCCCCCCCOC(=O)CC(C(=O)OC=CC)S(=O)(=O)O,7.3,518.8,658.4,0.05
CCCCC(CC)COC(=O)C(F)(F)S(=O)(=O)O,2.2,288.3,366.5,0.12
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,4.2,422.6,544.8,0.07
CCCCCCCCOC(=O)C(CC=O)S(=O)(=O)O,1.7,294.4,362.4,0.05
CCCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,4.5,436.6,559.4,0.07
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)OC(=O)CC(C(=O)OS(=O)(=O)C(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)S(=O)(=O)O,7.5,1007.3,1746.4,0.07
CCCCC(C)COC(=O)C(F)(F)S(=O)(=O)O,1.8,274.3,352.4,0.12
CCCCC(CC)COC(=O)C(CC(=O)OCC)S(=O)(=O)O,2.0,338.4,444.1,0.07
CCCCCCCCCCCCCCCC(=O)OC(=O)CC(C(=O)OCC)S(=O)(=O)O,4.7,464.6,615.0,0.03
CCCCCCCCCCCCCCCCCCOC(=O)CC(C(=O)OC=CC)S(=O)(=O)O,6.5,490.7,628.7,0.05
CCCCCCCCCCCC(=O)OC(=O)C(CC(=O)OOCC)S(=O)(=O)O,3.1,424.5,571.6,0.05
CCCCCCCCCCCCCCOC(=O)CC(C(=O)OC=CC)S(=O)(=O)O,5.0,434.6,569.6,0.05
CCCCC(C)COC(=O)C(CC(=O)OCC(CC)CCCC)S(=O)(=O)O,3.8,408.6,530.2,0.07
CCCCCCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,7.2,448.7,489.8,0.03
CCCCCCCC(=O)OCC(OC(=O)CCCCCCC)S(=O)(=O)O,4.0,394.5,487.8,0.05
CCCCC(CCCC)COC(=O)C(CCOCC(C)CC)S(=O)(=O)O,4.2,394.6,454.6,0.06
CCCCCCC(CCC(=O)OCC(F)(F)S(=O)(=O)O)C(C)C,4.0,358.4,448.8,0.12
CCCCCCCCCCCCCCCCCC(=O)OCC(F)(F)S(=O)(=O)O,6.3,428.6,494.8,0.1
CCCCCCCCCCCCCCCCC(=O)OCC(F)(F)S(=O)(=O)O,5.9,414.6,480.5,0.1
CCCCCCCCCCCCCCCC(=O)OCC(F)(F)S(=O)(=O)O,5.5,400.5,466.2,0.1
CCCCCCCCCCCCCCC(=O)OCC(F)(F)S(=O)(=O)O,5.1,386.5,452.0,0.1
CCCCCCCCCCCCCC(=O)OCC(F)(F)S(=O)(=O)O,4.7,372.5,437.7,0.1
