SMILES
CCCC(CCCCCCCCO)OS(=O)(=O)[O-]
CCCCCCCCCCCCCCCCCCO.OS(=O)(=O)O
CCCCCC(CCCCCCCCCCCCCO)S(=O)(=O)O
CCCCCC(CCCCCCCCCCCCCCCCS(=O)(=O)O)O
CC(C)CCC(CCCCCCCCCO)OS(=O)(=O)O
CCCCCCCCCCCCCCCC(=O)CCC(CCO)OS(=O)(=O)O
CCCCCCCCCC(CCCCCCCCS(=O)(=O)O)O
CCCCCCCCCCCCCO.COS(=O)(=O)O
CCCCCCCCCCCCCCCCOS(=O)(=O)O
CCCCCCCCCCCCCCC(CCCCCO)S(=O)(=O)O
CCCCCCCCCCCCC(CCCCCCS(=O)(=O)O)O
CCCCCCCCCCCCCCC(CCCCCCCCCO)S(=O)(=O)O
CCCCCCCCCCCCOS(=O)(=O)O
CCCCCC(CCCCCCCCCCCCCCCCCCO)S(=O)(=O)O
CCCCCCCCC(CCCCCCCCCOS(=O)(=O)O)O
CCCCCCCCCCCCCCCCO.CCOS(=O)(=O)O
CCCCCCCC(CCCCCCCS(=O)(=O)O)O
CCCCCCCCCCCCCC(CCCCCCCCCS(=O)(=O)O)O
CCCCCC(CCCCCCCCS(=O)(=O)O)O
CCCCCCCCC(CCCCCCCCCCCO)S(=O)(=O)O
CCCCCCCCC(CCCO)S(=O)(=O)O
CCCCCCCC(CCCCCCCCCS(=O)(=O)O)O
CCCCCCCCCCC(CCCCCCCCO)S(=O)(=O)O
CCCCCCCCCCCCCC(CCCCCCO)S(=O)(=O)O
CCCCCCCCCCCCCCCC(CCCCCCS(=O)(=O)O)O
CCCCCCCCCCCCCCC(CCCCCCS(=O)(=O)O)O
CCCCCCCCCCC(CCCCCO)S(=O)(=O)O
CCCCCCCCCCCC(CCCCCCCCCCO)S(=O)(=O)O
CCCCCCCCCCCC(CCCCO)OS(=O)(=O)O
CCCCCCCCCCC(CCS(=O)(=O)O)O
CCCCC(COS(=O)(=O)O)O
CCCCCCCCCCC(CCCCCCCCCCCCCO)S(=O)(=O)O
